time,open,high,low,close
1638140400,98.225,98.225,98.225,98.225
1638226800,98.345,98.345,98.345,98.345
1638313200,98.43,98.43,98.43,98.43
1638399600,98.44,98.44,98.44,98.44
1638486000,98.585,98.585,98.585,98.585
1638745200,98.435,98.435,98.435,98.435
1638831600,98.405,98.405,98.405,98.405
1638918000,98.385,98.385,98.385,98.385
1639004400,98.425,98.425,98.425,98.425
1639090800,98.4,98.4,98.4,98.4
1639350000,98.465,98.465,98.465,98.465
1639436400,98.46,98.46,98.46,98.46
1639522800,98.47,98.47,98.47,98.47
1639609200,98.51,98.51,98.51,98.51
1639695600,98.545,98.545,98.545,98.545
1639954800,98.475,98.475,98.475,98.475
1640041200,98.38,98.38,98.38,98.38
1640127600,98.415,98.415,98.415,98.415
1640214000,98.39,98.39,98.39,98.39
1640559600,98.425,98.425,98.425,98.425
1640646000,98.45,98.45,98.45,98.45
1640732400,98.355,98.355,98.355,98.355
1640818800,98.365,98.365,98.365,98.365
1640905200,98.38,98.38,98.38,98.38
1641164400,98.21,98.21,98.21,98.21
1641250800,98.15,98.15,98.15,98.15
1641337200,98.13,98.13,98.13,98.13
1641423600,98.105,98.105,98.105,98.105
1641510000,98.08,98.08,98.08,98.08
1641769200,98.08,98.08,98.08,98.08
1641855600,98.13,98.13,98.13,98.13
1641942000,98.175,98.175,98.175,98.175
1642028400,98.205,98.205,98.205,98.205
1642114800,98.13,98.13,98.13,98.13
1642374000,98.025,98.025,98.025,98.025
1642546800,98.08,98.08,98.08,98.08
1642633200,98.09,98.09,98.09,98.09
1642719600,98.16,98.16,98.16,98.16
1642978800,98.18,98.18,98.18,98.18
1643065200,98.115,98.115,98.115,98.115
1643151600,98.05,98.05,98.05,98.05
1643238000,98.155,98.155,98.155,98.155
1643324400,98.195,98.195,98.195,98.195
1643583600,98.185,98.185,98.185,98.185
1643670000,98.175,98.175,98.175,98.175
1643756400,98.21,98.21,98.21,98.21
1643842800,98.15,98.15,98.15,98.15
1643929200,98.045,98.045,98.045,98.045
1644188400,98.06,98.06,98.06,98.06
1644274800,98.02,98.02,98.02,98.02
1644361200,98.065,98.065,98.065,98.065
1644447600,97.995,97.995,97.995,97.995
1644534000,98.105,98.105,98.105,98.105
1644793200,98.06,98.06,98.06,98.06
1644879600,97.975,97.975,97.975,97.975
1644966000,97.965,97.965,97.965,97.965
1645052400,98.055,98.055,98.055,98.055
1645138800,98.105,98.105,98.105,98.105
