time,open,high,low,close
1637017200,98.435,98.435,98.39,98.39
1637103600,98.375,98.42,98.375,98.415
1637190000,98.43,98.45,98.405,98.45
1637276400,98.45,98.53,98.44,98.5
1637535600,98.485,98.485,98.375,98.38
1637622000,98.385,98.385,98.33,98.345
1637708400,98.375,98.375,98.315,98.36
1637794800,98.35,98.53,98.35,98.53
1638140400,98.47,98.535,98.455,98.505
1638226800,98.52,98.63,98.51,98.58
1638313200,98.54,98.64,98.54,98.62
1638399600,98.61,98.62,98.575,98.59
1638486000,98.61,98.705,98.565,98.705
1638745200,98.655,98.66,98.56,98.57
1638831600,98.56,98.565,98.515,98.515
1638918000,98.545,98.545,98.48,98.5
1639004400,98.51,98.54,98.51,98.525
1639090800,98.485,98.55,98.485,98.515
1639350000,98.52,98.59,98.52,98.565
1639436400,98.54,98.55,98.54,98.55
1639522800,98.54,98.56,98.52,98.55
1639609200,98.55,98.64,98.55,98.64
1639695600,98.64,98.69,98.64,98.655
1639954800,98.715,98.715,98.635,98.64
1640041200,98.635,98.635,98.555,98.555
1640127600,98.555,98.57,98.555,98.57
1640214000,98.565,98.565,98.545,98.555
1640559600,98.55,98.57,98.55,98.56
1640646000,98.57,98.58,98.56,98.57
1640732400,98.56,98.56,98.495,98.515
1640818800,98.525,98.535,98.5,98.525
1640905200,98.535,98.55,98.52,98.54
1641164400,98.5,98.5,98.4,98.405
1641250800,98.38,98.39,98.35,98.37
1641337200,98.39,98.395,98.325,98.33
1641423600,98.295,98.3,98.27,98.29
1641510000,98.285,98.285,98.205,98.235
1641769200,98.195,98.23,98.175,98.195
1641855600,98.215,98.26,98.19,98.26
1641942000,98.26,98.3,98.24,98.3
1642028400,98.27,98.34,98.255,98.33
1642114800,98.31,98.34,98.215,98.245
1642374000,98.19,98.195,98.105,98.125
1642546800,98.08,98.18,98.065,98.175
1642633200,98.155,98.22,98.155,98.185
1642719600,98.26,98.29,98.225,98.26
1642978800,98.235,98.315,98.235,98.3
1643065200,98.265,98.285,98.235,98.24
1643151600,98.23,98.255,98.13,98.16
1643238000,98.155,98.245,98.155,98.225
1643324400,98.2,98.28,98.18,98.27
1643583600,98.275,98.295,98.26,98.27
1643670000,98.28,98.32,98.25,98.275
1643756400,98.265,98.315,98.255,98.305
1643842800,98.305,98.315,98.21,98.235
1643929200,98.2,98.235,98.095,98.095
1644188400,98.125,98.135,98.105,98.12
1644274800,98.105,98.105,98.06,98.075
1644361200,98.07,98.125,98.07,98.1
1644447600,98.085,98.11,98.005,98.015
1644534000,98.035,98.19,98.015,98.16
1644793200,98.15,98.21,98.075,98.105
1644879600,98.115,98.115,98.035,98.06
1644966000,98.06,98.105,98.05,98.06
1645052400,98.07,98.155,98.07,98.145
1645138800,98.175,98.2,98.12,98.185
1645398000,98.22,98.275,98.155,98.18
1645570800,98.18,98.18,98.11,98.145
1645657200,98.17,98.285,98.15,98.155
1645743600,98.17,98.19,98.1,98.13
1646002800,98.265,98.295,98.205,98.285
1646089200,98.265,98.505,98.25,98.49
1646175600,98.46,98.495,98.255,98.29
1646262000,98.305,98.345,98.26,98.345
1646348400,98.37,98.52,98.36,98.49
1646607600,98.535,98.555,98.4,98.44
1646694000,98.425,98.425,98.305,98.325
1646780400,98.33,98.365,98.22,98.225
1646866800,98.235,98.275,98.14,98.15
1646953200,98.165,98.19,98.115,98.125
1647208800,98.11,98.11,97.97,97.98
1647295200,97.985,98.05,97.945,97.955
1647381600,97.975,97.98,97.845,97.905
1647468000,97.885,98.005,97.885,97.965
1647554400,98.01,98.03,97.98,98.02
1647813600,98,98,97.835,97.84
1647900000,97.85,97.85,97.76,97.78
1647986400,97.78,97.865,97.73,97.835
1648072800,97.85,97.85,97.745,97.795
1648159200,97.75,97.775,97.55,97.555
1648418400,97.565,97.645,97.47,97.595
1648504800,97.61,97.725,97.505,97.71
1648591200,97.705,97.795,97.67,97.77
1648677600,97.78,97.84,97.765,97.825
1648764000,97.745,97.745,97.66,97.71
1649023200,97.675,97.735,97.665,97.715
1649109600,97.725,97.745,97.515,97.525
1649196000,97.525,97.55,97.405,97.51
1649282400,97.515,97.585,97.47,97.5
1649368800,97.49,97.515,97.395,97.42
1649628000,97.415,97.425,97.335,97.35
1649714400,97.355,97.5,97.29,97.46
1649800800,97.455,97.57,97.38,97.49
1649887200,97.495,97.56,97.325,97.36
1650232800,97.35,97.38,97.275,97.325
1650319200,97.32,97.35,97.18,97.225
1650405600,97.18,97.3,97.145,97.29
1650492000,97.28,97.285,97.155,97.18
1650578400,97.185,97.28,97.115,97.265
1650837600,97.245,97.425,97.245,97.335
1650924000,97.32,97.425,97.27,97.36
1651010400,97.4,97.425,97.3,97.33
1651096800,97.305,97.355,97.21,97.24
1651183200,97.295,97.295,97.165,97.24
1651442400,97.205,97.215,97.095,97.115
1651528800,97.125,97.21,97.09,97.165
1651615200,97.14,97.24,97.115,97.235
1651701600,97.21,97.25,97.07,97.12
1651788000,97.125,97.145,97.04,97.075
1652047200,97.06,97.2,96.995,97.145
1652133600,97.195,97.29,97.155,97.235
1652220000,97.255,97.335,97.16,97.31
1652306400,97.295,97.43,97.295,97.39
1652392800,97.34,97.35,97.255,97.28
1652652000,97.285,97.395,97.265,97.395
1652738400,97.39,97.405,97.25,97.28
1652824800,97.255,97.37,97.215,97.345
1652911200,97.34,97.47,97.305,97.375
1652997600,97.39,97.45,97.35,97.44
1653256800,97.425,97.435,97.35,97.36
1653343200,97.37,97.525,97.36,97.485
1653429600,97.48,97.54,97.48,97.52
1653516000,97.52,97.565,97.46,97.505
1653602400,97.51,97.53,97.48,97.49
1653861600,97.51,97.51,97.365,97.42
1654034400,97.41,97.41,97.28,97.3
1654120800,97.32,97.355,97.295,97.34
1654207200,97.335,97.34,97.255,97.285
1654466400,97.295,97.31,97.17,97.175
1654552800,97.17,97.27,97.15,97.25
1654639200,97.245,97.245,97.185,97.215
1654725600,97.195,97.23,97.155,97.19
1654812000,97.19,97.245,97.055,97.06
1655071200,97.045,97.065,96.76,96.845
1655157600,96.885,97.04,96.725,96.745
1655244000,96.75,96.975,96.75,96.86
1655330400,96.96,97.105,96.77,96.99
1655416800,97.08,97.12,96.945,97.025
1655676000,96.99,97.06,96.96,96.995
1655848800,97.005,97.185,97.005,97.15
1655935200,97.135,97.32,97.125,97.255
1656021600,97.245,97.305,97.16,97.18
1656280800,97.165,97.175,97.075,97.1
1656367200,97.085,97.135,97.035,97.09
1656453600,97.115,97.225,97.11,97.22
1656540000,97.21,97.395,97.2,97.395
1656626400,97.355,97.62,97.345,97.5
1656885600,97.525,97.64,97.43,97.595
1657058400,97.59,97.69,97.43,97.455
1657144800,97.435,97.475,97.335,97.355
1657231200,97.355,97.4,97.245,97.27
1657490400,97.26,97.415,97.26,97.39
1657576800,97.385,97.485,97.385,97.43
1657663200,97.43,97.52,97.305,97.5
1657749600,97.5,97.515,97.375,97.45
1657836000,97.435,97.51,97.415,97.465
1658095200,97.465,97.5,97.36,97.44
1658181600,97.395,97.435,97.34,97.37
1658268000,97.37,97.46,97.325,97.335
1658354400,97.345,97.55,97.29,97.51
1658440800,97.555,97.705,97.51,97.645
1658700000,97.66,97.66,97.605,97.635
1658786400,97.645,97.755,97.62,97.65
1658872800,97.635,97.74,97.61,97.74
1658959200,97.685,97.88,97.63,97.82
1659045600,97.815,97.88,97.755,97.85
1659304800,97.865,97.94,97.83,97.89
1659391200,97.91,97.975,97.65,97.665
1659477600,97.655,97.725,97.55,97.66
1659564000,97.705,97.8,97.67,97.78
1659650400,97.755,97.77,97.55,97.585
1659909600,97.57,97.7,97.565,97.685
1659996000,97.685,97.69,97.595,97.61
1660082400,97.62,97.795,97.595,97.67
1660168800,97.67,97.735,97.565,97.585
1660255200,97.575,97.635,97.555,97.605
1660514400,97.62,97.72,97.59,97.695
1660600800,97.715,97.72,97.62,97.65
1660687200,97.635,97.65,97.485,97.53
1660773600,97.525,97.6,97.49,97.535
1660860000,97.535,97.535,97.41,97.425
1661119200,97.435,97.48,97.35,97.36
1661205600,97.355,97.425,97.31,97.325
1661292000,97.34,97.37,97.235,97.27
1661378400,97.27,97.33,97.24,97.32
1661464800,97.32,97.32,97.22,97.255
1661724000,97.22,97.22,97.13,97.17
1661810400,97.17,97.235,97.135,97.17
1661896800,97.165,97.195,97.09,97.175
1661983200,97.095,97.135,96.99,97.04
1662069600,97.04,97.19,97.025,97.14
1662328800,97.14,97.165,96.965,96.995
1662501600,96.99,97.11,96.965,97.1
1662588000,97.1,97.19,97.04,97.075
1662674400,97.045,97.13,97.025,97.03
1662933600,97.03,97.105,96.995,97.015
1663020000,97.03,97.095,96.9,96.93
1663106400,96.94,96.985,96.88,96.94
1663192800,96.935,96.95,96.845,96.87
1663279200,96.885,96.955,96.84,96.915
1663538400,96.9,96.915,96.825,96.845
1663624800,96.85,96.865,96.745,96.76
1663711200,96.76,96.835,96.655,96.83
1663797600,96.77,96.77,96.555,96.615
1663884000,96.605,96.64,96.44,96.565
1664143200,96.54,96.54,96.295,96.34
1664229600,96.31,96.475,96.23,96.305
1664316000,96.315,96.58,96.245,96.565
1664402400,96.53,96.565,96.38,96.525
1664488800,96.47,96.575,96.38,96.44
1664748000,96.405,96.72,96.405,96.61
1664834400,96.62,96.75,96.615,96.72
1664920800,96.695,96.73,96.51,96.545
1665007200,96.545,96.565,96.44,96.48
1665093600,96.475,96.485,96.37,96.415
1665352800,96.415,96.45,96.31,96.37
1665439200,96.38,96.46,96.315,96.365
1665525600,96.37,96.445,96.34,96.425
1665612000,96.43,96.505,96.23,96.425
1665698400,96.45,96.565,96.345,96.375
1665957600,96.405,96.55,96.39,96.41
1666044000,96.425,96.49,96.375,96.425
1666130400,96.42,96.425,96.255,96.27
1666216800,96.27,96.305,96.12,96.135
1666303200,96.135,96.27,96.05,96.225
1666562400,96.255,96.355,96.165,96.23
1666648800,96.225,96.42,96.225,96.335
1666735200,96.33,96.44,96.315,96.41
1666821600,96.42,96.555,96.32,96.51
1666908000,96.535,96.545,96.35,96.385
1667167200,96.37,96.39,96.305,96.35
1667253600,96.365,96.51,96.305,96.34
1667340000,96.31,96.43,96.265,96.34
1667426400,96.28,96.28,96.145,96.265
1667512800,96.26,96.315,96.175,96.28
1667775600,96.285,96.31,96.235,96.25
1667862000,96.245,96.355,96.22,96.33
1667948400,96.35,96.45,96.305,96.385
1668034800,96.435,96.765,96.385,96.735
1668121200,96.755,96.79,96.69,96.78
