time,open,high,low,close
1648504800,97.75,97.75,97.75,97.75
1648591200,97.8,97.8,97.8,97.8
1648677600,97.845,97.845,97.845,97.845
1648764000,97.815,97.815,97.815,97.815
1649023200,97.795,97.795,97.795,97.795
1649109600,97.65,97.65,97.65,97.65
1649196000,97.54,97.54,97.54,97.54
1649282400,97.4,97.4,97.4,97.4
1649368800,97.305,97.305,97.305,97.305
1649628000,97.18,97.18,97.18,97.18
1649714400,97.195,97.195,97.195,97.195
1649800800,97.25,97.25,97.25,97.25
1649887200,97.115,97.115,97.115,97.115
1650232800,97.015,97.015,97.015,97.015
1650319200,96.98,96.98,96.98,96.98
1650405600,97.07,97.07,97.07,97.07
1650492000,97.015,97.015,97.015,97.015
1650578400,97.05,97.05,97.05,97.05
1650837600,97.135,97.135,97.135,97.135
1650924000,97.155,97.155,97.155,97.155
1651010400,97.085,97.085,97.085,97.085
1651096800,97.02,97.02,97.02,97.02
1651183200,97.02,97.02,97.02,97.02
1651442400,96.875,96.875,96.875,96.875
1651528800,96.94,96.94,96.94,96.94
1651615200,96.92,96.92,96.92,96.92
1651701600,96.745,96.745,96.745,96.745
1651788000,96.75,96.75,96.64,96.64
1652047200,96.675,96.675,96.675,96.675
1652133600,96.775,96.775,96.775,96.775
1652220000,96.9,96.9,96.9,96.9
1652306400,96.99,96.99,96.99,96.99
1652392800,96.81,96.88,96.81,96.88
1652652000,96.93,96.93,96.93,96.93
1652738400,96.855,96.855,96.855,96.855
1652824800,96.99,96.99,96.99,96.99
1652911200,97.025,97.025,97.025,97.025
1652997600,97.13,97.13,97.13,97.13
1653256800,97.07,97.07,97.07,97.07
1653343200,97.09,97.09,97.09,97.09
1653429600,97.08,97.08,97.08,97.08
1653516000,97.04,97.04,97.04,97.04
1653602400,97.06,97.06,97.06,97.06
1653861600,96.96,96.96,96.96,96.96
1654034400,96.925,96.925,96.925,96.925
1654120800,96.97,96.97,96.97,96.97
1654207200,96.92,96.92,96.92,96.92
1654466400,96.815,96.815,96.815,96.815
1654552800,96.915,96.915,96.915,96.915
1654639200,96.86,96.86,96.86,96.86
1654725600,96.86,96.86,96.86,96.86
1654812000,96.805,96.805,96.805,96.805
1655071200,96.595,96.595,96.595,96.595
1655157600,96.51,96.51,96.51,96.51
1655244000,96.565,96.565,96.565,96.565
1655330400,96.66,96.66,96.66,96.66
